O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,O_UP
10-30,570,901148,12:00:00,8,17,0
10-31,657,921144,18:00:00,12,38,1
10-26,186,906506,7:00:00,32,44,0
10-30,711,906950,16:00:00,15,45,0
10-29,693,921090,16:00:00,22,35,1
10-30,952,906250,16:00:00,26,34,0
10-26,48,906229,17:00:00,39,51,0
10-31,903,906221,16:00:00,16,31,0
10-25,1,902756,13:00:00,11,21,1
10-25,619,904727,21:00:00,11,43,0
10-26,804,905248,17:00:00,15,23,0
10-31,856,906888,16:00:00,8,31,0
10-27,707,905909,15:00:00,19,24,0
10-25,629,901581,15:00:00,17,39,1
10-26,954,907445,17:00:00,29,41,1
10-26,861,905901,17:00:00,9,29,1
10-25,458,901533,15:00:00,23,31,1
10-28,867,900359,12:00:00,23,35,0
10-26,96,921468,7:00:00,35,44,1
10-26,643,963812,17:00:00,26,30,0
10-26,827,902382,7:00:00,4,17,1
10-30,824,907217,14:00:00,27,40,0
10-26,705,900799,11:00:00,30,67,1
10-26,186,906476,9:00:00,20,30,0
10-26,911,907291,11:00:00,18,32,0
10-28,634,912241,16:00:00,17,32,1
10-30,13,904705,14:00:00,8,19,0
10-27,857,904021,17:00:00,33,37,1
10-29,908,900912,8:00:00,6,37,1
10-27,800,922546,15:00:00,26,49,0
10-27,907,905516,9:00:00,20,32,1
10-28,655,906092,8:00:00,23,33,1
10-29,362,905625,20:00:00,2,16,0
10-31,175,902467,18:00:00,10,29,0
10-31,50,932547,10:00:00,10,17,0
10-27,863,960158,19:00:00,33,37,1
10-26,570,901156,15:00:00,8,17,0
10-27,763,901327,13:00:00,42,51,0
10-25,804,911521,19:00:00,7,23,0
10-29,706,906553,20:00:00,39,46,1
10-28,697,906696,14:00:00,15,30,1
10-27,593,906726,17:00:00,21,25,0
10-25,610,906378,7:00:00,18,35,0
10-25,30,905296,11:00:00,16,23,0
10-26,367,905602,19:00:00,3,17,0
10-30,685,902520,14:00:00,11,34,1
10-28,831,907069,10:00:00,8,30,1
10-30,459,905409,20:00:00,34,44,0
10-28,827,903587,16:00:00,6,17,1
10-26,634,912367,17:00:00,19,33,0
10-30,3,932508,20:00:00,13,24,0
10-29,871,906835,18:00:00,31,40,0
10-28,619,904726,10:00:00,31,43,0
10-30,50,932544,8:00:00,13,17,0
10-28,903,906219,18:00:00,23,33,1
10-25,912,907276,19:00:00,31,35,1
10-30,638,932626,10:00:00,28,43,0
10-27,607,906355,9:00:00,27,42,0
10-26,840,903108,13:00:00,10,35,1
10-30,655,906092,16:00:00,9,33,1
10-26,20,903360,15:00:00,10,31,1
10-27,686,906038,11:00:00,40,61,1
10-25,700,902697,7:00:00,21,37,0
10-29,535,901550,16:00:00,24,28,0
10-28,6001,900298,10:00:00,6,25,0
10-26,711,906932,21:00:00,28,45,0
10-26,753,901063,11:00:00,18,29,0
10-29,698,902371,16:00:00,37,42,1
10-31,872,902287,10:00:00,25,46,0
10-30,402,900147,12:00:00,11,26,1
10-27,681,907281,11:00:00,9,30,1
10-29,220,901472,14:00:00,18,22,1
10-27,672,902501,9:00:00,23,38,0
10-26,571,907389,9:00:00,10,22,0
10-26,869,903448,19:00:00,21,42,0
10-31,962,903139,8:00:00,8,27,1
10-26,679,906447,11:00:00,18,35,1
10-31,700,906587,8:00:00,31,37,0
10-25,7052,903554,19:00:00,47,52,0
10-30,658,900520,12:00:00,32,47,1
10-26,868,900851,19:00:00,26,35,0
10-26,912,904372,21:00:00,17,35,1
10-27,96,907059,11:00:00,29,35,0
10-31,800,922528,18:00:00,39,50,1
10-25,34,906399,11:00:00,8,25,1
10-30,916,905490,12:00:00,14,23,0
10-30,607,906348,16:00:00,32,42,0
10-25,856,906884,9:00:00,29,40,1
10-26,911,903273,13:00:00,18,32,0
10-30,697,906708,18:00:00,20,31,0
10-31,857,904020,22:00:00,13,37,1
10-26,1,902737,17:00:00,6,30,0
10-28,570,904737,8:00:00,2,11,0
10-25,842,900983,19:00:00,13,25,1
10-30,185,905675,14:00:00,24,30,0
10-29,600,912373,8:00:00,4,25,1
10-30,903,906212,8:00:00,24,31,0
10-28,851,903496,16:00:00,16,27,0
10-27,663,900173,19:00:00,28,33,0
10-29,223,905028,8:00:00,5,14,1
10-27,203,905783,11:00:00,3,23,1
10-25,641,902645,9:00:00,12,37,0
10-26,605,901279,17:00:00,18,24,1
10-28,705,905793,16:00:00,2,35,0
10-25,640,903185,17:00:00,31,40,1
10-30,706,906567,10:00:00,17,46,1
10-25,859,900475,21:00:00,35,59,1
10-25,800,922546,21:00:00,43,50,1
10-27,610,906378,9:00:00,15,33,1
10-30,47,904340,10:00:00,40,51,0
10-29,810,904768,10:00:00,5,21,0
10-26,678,904323,7:00:00,14,31,0
10-30,867,900373,20:00:00,25,32,1
10-27,857,904020,9:00:00,32,37,1
10-25,185,905681,17:00:00,22,30,0
10-25,606,900494,9:00:00,34,39,1
10-28,1,902737,18:00:00,5,29,1
10-30,952,900012,16:00:00,12,33,0
10-25,753,901060,15:00:00,16,29,1
10-31,681,907262,20:00:00,9,34,1
10-26,676,904697,15:00:00,2,27,0
10-27,619,904720,9:00:00,19,41,1
10-29,95,921434,16:00:00,5,22,1
10-30,856,906879,16:00:00,19,40,1
10-30,847,906744,10:00:00,31,47,0
10-28,857,904021,14:00:00,17,37,1
10-29,638,932625,12:00:00,39,43,0
10-27,952,900012,9:00:00,16,34,0
10-28,868,900845,10:00:00,7,17,1
10-28,1,902735,10:00:00,17,29,1
10-27,688,905166,13:00:00,40,52,1
10-28,801,905119,8:00:00,18,38,0
10-29,97,921455,16:00:00,16,23,0
10-26,907,905528,9:00:00,19,33,0
10-31,32,902211,20:00:00,16,20,0
10-28,639,901812,10:00:00,15,36,1
10-25,641,906253,13:00:00,35,43,0
10-25,829,903416,9:00:00,2,26,0
10-30,904,905142,12:00:00,15,36,1
10-29,812,906161,10:00:00,14,28,0
10-26,847,906770,7:00:00,20,26,0
10-31,3,932511,14:00:00,6,24,0
10-26,157,932301,7:00:00,13,24,1
10-26,632,904203,15:00:00,20,41,1
10-27,706,906558,9:00:00,5,41,1
10-28,606,900506,12:00:00,5,23,0
10-27,622,904575,17:00:00,41,49,1
10-27,679,906457,21:00:00,9,34,0
10-29,47,962336,18:00:00,8,32,0
10-28,907,905513,20:00:00,13,33,0
10-26,623,904591,15:00:00,21,31,1
10-25,9,904265,7:00:00,7,24,0
10-29,6001,900297,18:00:00,15,21,1
10-28,657,921144,8:00:00,30,46,0
10-26,633,903466,9:00:00,5,28,0
10-28,619,904714,20:00:00,37,43,0
10-28,863,960169,8:00:00,24,39,0
10-26,641,904353,19:00:00,8,31,1
10-31,685,902514,18:00:00,9,30,1
10-30,1,902754,20:00:00,24,30,0
10-28,818,904460,14:00:00,32,38,0
10-27,911,902456,9:00:00,28,32,0
10-31,700,906586,12:00:00,2,27,1
10-28,746,905367,10:00:00,9,13,1
10-27,665,906087,11:00:00,30,38,0
10-25,700,906439,15:00:00,2,27,1
10-27,8,906920,11:00:00,4,18,1
10-27,878,905856,13:00:00,15,43,1
10-25,806,906529,13:00:00,7,31,1
10-25,870,901394,19:00:00,15,40,0
10-26,312,907191,15:00:00,14,19,1
10-26,830,907139,7:00:00,21,25,0
10-28,653,900202,12:00:00,23,31,0
10-31,649,912376,10:00:00,14,19,1
10-28,878,905868,16:00:00,23,43,1
10-25,609,900941,11:00:00,22,45,0
10-31,903,906214,14:00:00,12,33,1
10-27,707,905924,9:00:00,2,24,1
10-26,15,901755,15:00:00,2,17,0
10-26,868,900836,19:00:00,9,32,0
10-31,871,906833,20:00:00,21,39,1
10-27,595,904005,17:00:00,2,18,1
10-25,867,900370,9:00:00,19,32,1
10-30,916,905482,8:00:00,11,23,0
10-28,700,906438,10:00:00,23,37,0
10-25,161,905185,11:00:00,15,43,1
10-26,600,905261,7:00:00,9,23,0
10-29,34,906401,16:00:00,16,25,0
10-29,878,905864,18:00:00,30,41,0
10-27,7052,903548,15:00:00,45,52,0
10-26,50,932518,17:00:00,8,16,1
10-31,679,906456,18:00:00,6,34,0
10-31,623,904600,8:00:00,8,17,1
10-28,808,900249,20:00:00,39,47,0
10-30,832,903482,16:00:00,10,28,0
10-30,824,905960,18:00:00,22,40,0
10-30,686,906024,12:00:00,53,61,1
10-31,161,905191,20:00:00,45,55,1
10-26,878,905859,9:00:00,25,41,0
10-31,857,904043,8:00:00,19,38,0
10-25,906,902451,19:00:00,7,36,1
10-25,903,906225,13:00:00,20,33,1
10-27,12,901793,21:00:00,12,28,1
10-28,707,905929,14:00:00,4,24,1
10-26,855,904644,13:00:00,30,46,1
10-25,621,902986,17:00:00,36,42,0
10-26,607,906344,15:00:00,8,34,1
10-27,652,903902,15:00:00,40,72,0
10-28,868,900846,22:00:00,30,36,1
10-29,857,904029,18:00:00,28,37,1
10-25,691,942157,17:00:00,10,14,0
10-27,656,904177,21:00:00,29,34,1
10-27,55002,906073,17:00:00,8,15,1
10-26,610,906381,9:00:00,2,29,1
10-27,6012,902583,13:00:00,2,26,0
10-30,535,901558,8:00:00,6,28,0
10-29,560,903854,16:00:00,13,18,0
10-30,706,906576,18:00:00,18,46,1
10-26,952,906246,13:00:00,23,33,1
10-28,871,906831,8:00:00,33,40,0
10-26,904,905139,19:00:00,7,34,1
10-27,840,903107,9:00:00,21,35,0
10-26,459,905423,21:00:00,25,44,0
10-26,906,906974,17:00:00,23,37,0
10-31,859,900442,10:00:00,49,61,0
10-28,400,900133,8:00:00,21,29,1
10-29,652,903934,18:00:00,9,17,1
10-27,804,905248,19:00:00,17,25,1
10-25,697,906711,19:00:00,22,30,1
10-28,638,932633,14:00:00,40,45,1
10-25,841,900375,9:00:00,23,41,1
10-26,660,942268,13:00:00,29,33,1
10-29,459,905401,12:00:00,6,31,0
10-28,676,904697,10:00:00,7,27,0
10-30,32,941332,10:00:00,2,20,0
10-31,324,901994,14:00:00,4,19,1
10-27,860,901837,19:00:00,4,29,0
10-31,22,912215,16:00:00,21,29,1
10-31,55014,903439,8:00:00,2,20,1
10-29,663,901432,14:00:00,22,30,1
10-31,175,902472,16:00:00,6,29,0
10-31,609,900929,22:00:00,38,44,1
10-30,645,901854,8:00:00,14,28,1
10-28,530,904098,20:00:00,3,18,0
10-30,6012,902584,10:00:00,28,39,1
10-26,679,906450,21:00:00,29,35,1
10-30,8,906930,18:00:00,6,18,1
10-27,629,901585,9:00:00,42,52,0
10-31,842,900974,20:00:00,7,25,1
10-26,808,904633,21:00:00,32,47,0
10-31,909,902795,12:00:00,22,32,1
10-28,818,904457,16:00:00,17,38,0
10-30,304,904223,16:00:00,4,16,0
10-26,634,901752,15:00:00,14,32,1
10-27,34,912360,17:00:00,4,25,1
10-29,30,942298,20:00:00,8,22,1
10-31,632,904194,14:00:00,13,38,1
10-30,829,903416,12:00:00,11,26,0
10-25,676,904699,21:00:00,7,36,1
10-26,633,904527,11:00:00,13,31,1
10-29,832,903476,18:00:00,13,28,0
10-28,608,903876,12:00:00,38,44,0
10-31,175,902464,10:00:00,21,29,0
10-27,698,902361,21:00:00,33,42,1
10-25,203,905782,15:00:00,3,23,1
10-29,879,900396,14:00:00,9,27,0
10-26,800,922538,11:00:00,24,49,0
10-26,371,904003,7:00:00,14,21,0
10-25,665,906087,17:00:00,10,26,0
10-27,660,905285,7:00:00,15,33,1
10-31,629,901597,10:00:00,46,52,0
10-31,952,900769,20:00:00,16,34,0
10-30,660,942285,18:00:00,18,33,1
10-26,961,903087,7:00:00,5,35,0
10-28,859,900474,16:00:00,13,36,1
10-28,837,905357,14:00:00,23,27,1
10-25,574,901164,7:00:00,24,32,0
10-27,954,907426,13:00:00,26,40,0
10-27,840,903097,11:00:00,17,35,1
10-30,640,903191,18:00:00,14,34,1
10-25,681,907280,7:00:00,7,26,1
10-30,610,906386,12:00:00,29,33,1
10-26,52,901306,19:00:00,7,20,1
10-28,703,904121,8:00:00,23,29,0
10-29,904,904610,20:00:00,36,41,0
10-29,533,900680,8:00:00,16,27,1
10-27,1,904648,7:00:00,8,29,1
10-29,185,905692,14:00:00,17,30,1
10-26,911,907320,11:00:00,27,33,1
10-25,804,911530,7:00:00,2,20,0
10-28,678,903164,20:00:00,2,29,1
10-27,907,905519,13:00:00,14,32,1
10-28,640,903178,12:00:00,10,16,1
10-29,34,912371,8:00:00,17,25,0
10-29,827,903589,12:00:00,12,20,0
10-29,808,902606,20:00:00,34,48,1
10-29,660,942266,14:00:00,29,33,1
10-30,615,905072,8:00:00,17,27,0
10-30,907,905524,10:00:00,7,32,1
10-25,867,900356,7:00:00,31,35,0
10-31,4208,904906,16:00:00,38,43,1
10-30,902,905378,16:00:00,16,24,0
10-27,711,906945,19:00:00,26,45,0
10-27,706,922520,7:00:00,18,45,1
10-29,20,904651,8:00:00,15,32,0
10-28,707,905915,14:00:00,10,14,1
10-30,653,900198,22:00:00,29,39,0
10-26,633,904526,13:00:00,8,31,1
10-28,679,906455,8:00:00,24,34,0
10-28,185,905688,10:00:00,22,30,0
10-29,676,904683,16:00:00,17,41,1
10-31,7052,903540,20:00:00,31,53,1
10-29,912,904370,10:00:00,2,22,0
10-29,800,922546,14:00:00,43,50,1
10-26,735,900535,17:00:00,15,23,1
10-27,850,906791,17:00:00,14,38,1
10-25,37,912334,11:00:00,22,31,0
10-29,185,905675,10:00:00,8,27,0
10-28,34,906400,18:00:00,18,25,0
10-30,20,903363,18:00:00,28,32,0
10-30,645,901854,14:00:00,5,28,1
10-31,572,903041,14:00:00,2,16,1
10-26,642,903002,19:00:00,36,41,0
10-30,806,906532,10:00:00,15,31,1
10-26,8,906931,11:00:00,8,18,1
10-28,623,904599,14:00:00,20,30,0
10-27,846,921901,15:00:00,10,37,0
10-28,610,905344,18:00:00,12,35,0
10-31,878,905870,10:00:00,37,43,1
10-28,640,903186,20:00:00,21,40,1
10-31,652,903901,12:00:00,8,41,0
10-26,813,906625,7:00:00,18,24,0
10-27,859,900475,19:00:00,37,61,0
10-25,691,942163,9:00:00,10,14,1
10-31,693,907422,18:00:00,27,35,1
10-28,213,903943,8:00:00,2,32,1
10-31,800,922555,12:00:00,31,49,0
10-28,655,904622,18:00:00,28,33,0
10-30,602,901786,16:00:00,22,44,0
10-30,804,911535,16:00:00,5,23,0
10-31,850,906989,8:00:00,14,38,0
10-31,668,902906,10:00:00,2,28,0
10-27,701,903021,15:00:00,6,16,1
10-29,860,901839,22:00:00,18,39,0
10-25,588,904491,11:00:00,29,41,1
10-28,908,900908,12:00:00,27,47,1
10-29,670,919774,18:00:00,22,26,0
10-29,606,900494,14:00:00,23,40,0
10-30,706,906554,20:00:00,42,46,1
10-31,872,902309,10:00:00,12,37,1
10-25,705,900794,15:00:00,12,50,0
10-25,679,906466,7:00:00,23,35,1
10-26,706,906567,11:00:00,2,36,1
10-31,676,904700,12:00:00,14,21,1
10-25,906,906588,15:00:00,26,39,1
10-25,804,904783,13:00:00,14,25,1
10-30,753,901060,16:00:00,3,29,0
10-26,655,906095,11:00:00,22,33,1
10-28,639,901811,12:00:00,3,26,1
10-28,639,901813,8:00:00,22,34,0
10-28,903,906221,14:00:00,19,31,0
10-30,746,905258,16:00:00,5,13,1
10-31,690,902128,10:00:00,19,31,1
10-30,911,903300,8:00:00,27,33,1
10-25,640,903173,9:00:00,4,30,0
10-28,847,906759,10:00:00,24,46,0
10-26,827,903588,21:00:00,8,17,1
10-28,12,901796,20:00:00,11,28,1
10-26,827,903601,15:00:00,10,20,0
10-29,672,902500,18:00:00,24,38,0
10-26,55050,905822,17:00:00,10,20,1
10-26,686,906003,19:00:00,52,61,1
10-29,662,900657,18:00:00,34,41,1
10-26,916,905493,9:00:00,4,23,0
10-31,862,901092,20:00:00,20,30,1
10-26,629,901594,11:00:00,44,52,1
10-26,841,900375,7:00:00,15,40,0
10-26,635,907106,9:00:00,18,34,1
10-25,806,906551,11:00:00,7,31,1
10-27,672,902502,9:00:00,23,38,0
10-28,912,904363,10:00:00,29,35,0
10-27,153,904130,19:00:00,5,20,1
10-30,37,912342,8:00:00,11,32,1
10-27,910,905538,11:00:00,11,18,0
10-31,688,903671,16:00:00,57,67,1
10-30,868,900836,12:00:00,24,35,0
10-29,50,932551,18:00:00,12,16,1
10-31,186,906508,12:00:00,36,44,0
10-30,4593,905433,16:00:00,52,58,1
10-27,619,904720,11:00:00,27,43,0
10-28,800,922560,16:00:00,18,44,0
10-25,175,902476,7:00:00,15,29,0
10-27,682,906109,7:00:00,3,26,0
10-26,656,902342,17:00:00,19,37,0
10-25,97,921462,9:00:00,9,21,1
10-29,668,902903,12:00:00,21,36,0
10-31,639,901813,16:00:00,27,34,0
10-30,55052,905876,16:00:00,26,40,1
10-30,675,905239,8:00:00,16,35,1
10-25,619,904723,17:00:00,7,25,0
10-26,596,906301,9:00:00,12,17,1
10-31,725,903437,10:00:00,9,20,0
10-27,4592,900139,17:00:00,36,44,1
10-29,826,907097,8:00:00,41,47,0
10-31,4013,904588,10:00:00,21,26,1
10-29,869,903468,14:00:00,16,42,0
10-29,47,906229,8:00:00,2,28,0
10-31,161,904176,8:00:00,33,57,0
10-25,343,901725,7:00:00,5,13,1
10-30,751,942284,10:00:00,16,25,0
10-28,659,905953,16:00:00,46,64,0
10-30,679,906458,16:00:00,14,35,1
10-30,686,906027,18:00:00,40,61,1
10-31,47,904341,18:00:00,32,50,0
10-27,678,904321,7:00:00,8,25,0
10-31,570,901217,16:00:00,8,17,0
10-29,856,906882,18:00:00,29,41,0
10-30,1,902748,22:00:00,6,29,1
10-30,37,912335,22:00:00,17,32,1
10-30,324,901994,18:00:00,2,19,1
10-28,185,905682,12:00:00,16,30,1
10-31,628,902261,14:00:00,41,50,1
10-28,624,902088,18:00:00,22,29,0
10-26,186,906508,17:00:00,37,44,0
10-28,867,900352,8:00:00,31,35,0
10-26,55010,904363,17:00:00,6,15,1
10-30,602,901773,22:00:00,32,44,0
10-29,871,906845,10:00:00,24,39,1
10-28,808,900288,12:00:00,38,47,0
10-29,847,906768,18:00:00,8,34,0
10-28,908,900912,20:00:00,7,36,1
10-30,804,911538,16:00:00,18,23,0
10-27,705,907372,19:00:00,22,52,1
10-31,462,901227,16:00:00,15,21,0
10-25,905,901672,17:00:00,10,24,0
10-26,851,903506,9:00:00,5,21,0
10-29,829,903422,20:00:00,4,27,0
10-27,61101,902013,19:00:00,12,18,0
10-30,867,900371,10:00:00,2,20,1
10-31,641,904353,8:00:00,23,43,1
10-26,906,902451,13:00:00,26,37,0
10-30,693,907415,18:00:00,8,28,1
10-25,850,906819,7:00:00,31,38,1
10-30,763,901337,18:00:00,4,35,0
10-28,878,905860,22:00:00,13,41,0
10-26,619,904707,17:00:00,39,43,0
10-29,906,904894,20:00:00,30,37,0
10-30,968,903262,10:00:00,7,18,0
10-25,629,901587,7:00:00,19,52,1
10-25,1,902753,9:00:00,15,29,1
10-25,471,907233,7:00:00,14,29,0
10-28,904,901987,8:00:00,29,36,1
10-26,711,906933,19:00:00,17,45,0
10-25,951,903250,15:00:00,15,29,1
10-27,639,901816,21:00:00,24,34,0
10-29,48,904340,12:00:00,16,37,0
10-25,6002,900339,13:00:00,9,29,1
10-30,672,902497,12:00:00,29,38,0
10-27,628,902263,9:00:00,42,52,0
10-25,872,902307,15:00:00,28,46,0
10-31,911,907288,14:00:00,10,32,1
10-26,902,905276,21:00:00,18,24,0
10-28,220,901339,16:00:00,9,22,0
10-30,592,906715,12:00:00,14,22,1
10-27,367,905602,15:00:00,6,19,1
10-25,652,903940,7:00:00,53,74,0
10-28,691,942158,10:00:00,8,14,0
10-29,368,904877,18:00:00,8,14,0
10-25,342,904065,17:00:00,17,22,0
10-29,826,907094,12:00:00,34,47,0
10-27,675,905230,15:00:00,18,39,1
10-31,703,904149,12:00:00,14,29,1
10-28,629,901580,20:00:00,4,44,1
10-27,668,900873,11:00:00,28,36,0
10-31,901,902871,22:00:00,29,37,1
10-28,636,907088,20:00:00,14,21,1
10-31,685,902516,18:00:00,22,43,0
10-30,665,906149,20:00:00,17,38,0
10-30,30,942295,14:00:00,13,23,0
10-30,645,901864,20:00:00,23,30,0
10-25,806,906536,17:00:00,8,31,0
10-31,570,904737,8:00:00,8,17,0
10-26,954,907426,9:00:00,29,40,0
10-31,220,901474,16:00:00,14,22,1
10-31,878,901925,10:00:00,39,43,1
10-30,459,905390,18:00:00,33,44,0
10-31,953,904268,22:00:00,25,30,1
10-25,867,900359,7:00:00,13,31,1
10-27,592,906719,15:00:00,18,22,1
10-29,593,906682,18:00:00,5,25,0
10-26,609,900935,13:00:00,5,31,0
10-30,4013,904588,20:00:00,2,26,1
10-27,868,900841,19:00:00,6,27,1
10-25,656,904183,13:00:00,30,34,1
10-31,878,905870,14:00:00,38,43,1
10-25,711,906941,11:00:00,39,46,1
10-25,725,902040,17:00:00,6,20,1
10-26,678,904378,9:00:00,2,25,1
10-26,803,906593,11:00:00,8,25,1
10-30,961,903080,18:00:00,12,34,0
10-25,31,901821,11:00:00,12,21,1
10-31,628,902267,12:00:00,12,42,1
10-29,657,921139,16:00:00,37,46,0
10-27,717,901008,13:00:00,4,10,0
10-29,806,906528,8:00:00,30,34,0
10-25,679,906447,13:00:00,10,34,0
10-29,645,901854,8:00:00,10,28,1
10-25,813,906636,9:00:00,20,24,0
10-25,858,906049,19:00:00,21,37,1
10-26,652,903932,19:00:00,55,84,1
10-27,48,906235,15:00:00,15,39,0
10-27,61102,906361,15:00:00,19,46,1
10-27,97,921461,9:00:00,16,23,0
10-26,901,902873,11:00:00,23,37,1
10-30,856,906655,12:00:00,23,41,0
10-26,655,904622,19:00:00,29,33,1
10-29,642,902988,20:00:00,32,40,1
10-26,459,905419,15:00:00,28,44,0
10-27,1,902746,7:00:00,5,30,0
10-25,916,905490,7:00:00,14,23,0
10-29,808,900275,8:00:00,40,47,0
10-30,862,932612,8:00:00,20,30,1
10-31,186,906493,12:00:00,18,44,0
10-29,662,900650,8:00:00,2,30,1
10-31,623,904601,20:00:00,21,30,0
10-29,673,900218,16:00:00,7,26,1
10-26,697,906709,19:00:00,10,31,0
10-31,600,912375,20:00:00,9,25,1
10-29,1,902737,16:00:00,24,29,1
10-28,952,900012,20:00:00,18,33,0
10-25,652,903914,19:00:00,5,32,1
10-26,321,904637,7:00:00,3,10,1
10-31,866,905574,16:00:00,18,37,0
10-28,573,905313,8:00:00,29,34,0
10-28,847,906747,8:00:00,29,47,0
10-29,619,904716,14:00:00,27,41,1
10-29,97,921456,10:00:00,10,23,0
10-25,61102,906370,17:00:00,31,49,0
10-30,657,921141,8:00:00,9,28,1
10-31,953,904257,14:00:00,14,28,0
10-25,735,900555,13:00:00,18,24,0
10-27,666,901519,9:00:00,2,15,1
10-26,860,901837,19:00:00,21,41,1
10-25,30,942295,19:00:00,9,22,1
10-30,8,906920,14:00:00,10,16,0
10-31,47,963849,8:00:00,31,48,0
10-27,861,905906,21:00:00,11,37,0
10-25,842,901754,19:00:00,15,28,0
10-27,638,901084,19:00:00,34,45,1
10-25,691,900239,13:00:00,2,14,0
10-27,850,906790,9:00:00,34,38,1
10-25,4204,904927,7:00:00,3,30,1
10-27,663,900174,15:00:00,11,32,0
10-27,676,904677,17:00:00,8,27,0
10-27,6001,900308,13:00:00,14,21,1
10-26,610,905344,17:00:00,17,33,1
10-27,9,921488,17:00:00,19,25,1
10-26,153,904132,19:00:00,13,20,0
10-27,214,900427,7:00:00,17,28,1
10-29,47,962336,8:00:00,25,48,0
10-27,907,905527,19:00:00,18,33,0
10-27,662,900635,11:00:00,9,38,1
10-29,869,903456,8:00:00,34,42,1
10-27,6011,904521,15:00:00,28,34,0
10-31,22,912218,8:00:00,6,27,0
10-29,878,905497,12:00:00,16,34,1
10-25,685,902524,11:00:00,33,43,0
10-30,808,900265,10:00:00,10,45,0
10-27,662,900626,9:00:00,19,41,1
10-27,6002,900339,15:00:00,17,29,1
10-28,830,907112,18:00:00,4,24,0
10-27,563,907016,7:00:00,22,29,1
10-29,47,962351,14:00:00,36,51,0
10-28,607,906338,18:00:00,5,34,0
10-25,860,901833,11:00:00,37,41,1
10-26,623,904593,11:00:00,19,30,0
10-27,659,905933,17:00:00,10,25,1
10-25,607,906349,7:00:00,28,42,0
10-31,642,902996,8:00:00,15,34,1
10-25,810,903442,9:00:00,10,21,0
10-30,670,919773,16:00:00,23,27,1
10-27,868,906242,15:00:00,26,36,1
10-29,686,905999,8:00:00,40,61,1
10-29,220,907365,18:00:00,17,22,1
10-29,697,906696,10:00:00,14,30,1
10-25,953,922508,21:00:00,19,30,1
10-27,662,900627,7:00:00,13,33,0
10-25,858,906046,13:00:00,33,37,1
10-29,7052,903560,18:00:00,37,53,1
10-27,686,906037,11:00:00,13,37,1
10-27,649,912382,9:00:00,15,19,0
10-25,732,900545,15:00:00,7,15,1
