O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,pred_timeStamps
10-25,13,901361,13:00:00,10,19,115;164;277;408;495;569;644;804;1144;1284
10-25,13,901361,17:00:00,8,19,80;240;327;471;707;837;933;1023;1217;1276;1401;1543
10-25,13,901361,19:00:00,9,19,153;253;336;565;653;730;780;955;1004;1103;1241
10-25,13,901362,7:00:00,6,19,162;231;310;450;558;598;729;797;890;954;1015;1175;1421;1540
10-25,13,901362,9:00:00,13,19,134;226;294;373;533;787;954
10-25,13,902392,15:00:00,2,19,110;185;299;440;501;591;651;760;830;930;1139;1242;1311;1361;1540;1605;1697;1851
10-25,13,902392,19:00:00,11,19,110;220;330;440;550;660;786;961;1146
10-25,13,902395,11:00:00,14,19,113;189;259;399;681;861
10-25,13,902395,9:00:00,3,19,105;286;343;497;552;603;752;865;910;1061;1221;1321;1396;1471;1620;1913;2062
10-25,13,902542,17:00:00,14,19,271;373;512;683;1023;1213
10-25,13,902543,15:00:00,13,19,129;240;310;370;530;820;960
10-25,133,901496,7:00:00,18,35,220;409;621;855;901;984;1072;1182;1311;1482;1656;1807;1957;2587;3257;3318;3374;3434
10-25,133,905299,19:00:00,28,36,220;345;456;569;642;697;738;858;947
10-25,133,905301,7:00:00,31,35,160;269;379;429;471
10-25,133,905304,7:00:00,24,35,81;190;330;500;650;796;975;1215;1385;1485;1531;1581
10-25,15,901755,15:00:00,7,17,310;450;600;890;990;1269;1550;1740;1790;1870;1930
10-25,15,901758,19:00:00,2,17,110;200;240;410;480;690;830;970;1250;1330;1550;1780;1869;1910;1990;2060
10-25,15,901758,9:00:00,13,17,170;270;430;500;571
10-25,15,901760,11:00:00,4,17,130;171;341;751;911;1001;1291;1401;1591;1782;1932;2102;2182;2272
10-25,15,901761,11:00:00,8,17,240;340;610;730;890;1130;1270;1470;1550;1620
10-25,15,901761,17:00:00,12,17,190;420;540;710;790;880
10-25,15,901762,11:00:00,7,17,380;520;640;911;1001;1241;1531;1641;1690;1750;1810
10-25,15,901763,17:00:00,4,17,130;180;290;723;903;1053;1443;1533;1713;1943;2042;2212;2302;2382
10-25,153,904123,7:00:00,11,20,60;130;220;280;360;451;602;742;832;1052
10-25,153,904125,21:00:00,5,20,61;171;243;313;383;453;494;554;634;771;841;1001;1131;1181;1281;1462
10-25,153,904126,17:00:00,14,20,142;232;433;650;720;900;1121
10-25,153,904126,19:00:00,16,20,180;380;459;609;789
10-25,153,904128,17:00:00,14,20,60;130;223;384;504;594;824
10-25,153,904130,7:00:00,14,20,159;249;419;619;689;799;989
10-25,153,904132,13:00:00,16,20,100;240;350;420;611
10-25,153,904132,9:00:00,2,20,110;330;410;510;690;781;871;921;1031;1081;1171;1281;1432;1532;1737;1956;2026;2147;2356
10-25,157,932304,9:00:00,11,25,141;221;331;451;501;571;841;951;1191;1241;1291;1491;1591;1662;1873
10-25,157,932305,11:00:00,4,25,101;221;271;411;462;542;632;732;803;874;1014;1064;1124;1374;1464;1694;1735;1785;1955;2095;2144;2364
10-25,157,932305,15:00:00,17,24,71;150;250;320;490;560;681;771
10-25,161,904158,11:00:00,7,31,167;207;547;828;1018;1258;1328;1398;1448;1488;1698;1738;1828;1920;2121;2171;2401;2461;2572;2704;2804;2884;2973;3244;3284
10-25,161,904162,17:00:00,30,50,121;351;431;661;761;881;982;1142;1322;1392;1652;1972;2032;2128;2228;2293;2504;2554;2604;2753;2843
10-25,161,904162,7:00:00,6,27,79;279;329;669;969;1369;1549;1693;1833;1893;1943;2183;2243;2352;2443;2622;2692;2938;3028;3178;3338;3478
10-25,161,904164,7:00:00,21,45,120;250;560;670;760;870;1090;1150;1201;1310;1510;1580;1790;1880;1995;2115;2269;2434;2525;2775;2958;3028;3123;3198;3264
10-25,161,905177,7:00:00,29,54,87;338;378;560;680;777;847;1026;1116;1386;1466;1726;1896;1996;2037;2107;2267;2463;2634;2724;2778;2848;2999;3039;3219;3349
10-25,161,905177,9:00:00,17,44,220;350;410;470;590;720;1060;1360;1430;1553;1730;1791;1832;1942;2457;2529;2740;2821;2921;3008;3158;3311;3382;3492;3602;3712;3822;3932
10-25,161,905179,17:00:00,17,38,240;410;510;560;720;890;1470;1660;1780;1920;2200;2270;2360;2510;2790;2870;3123;3233;3363;3463;3623;3783
10-25,161,905180,19:00:00,32,60,60;255;334;430;510;640;775;825;1045;1149;1195;1267;1347;1395;1717;1757;1807;1926;2036;2146;2282;2492;2682;2812;2992;3052;3152;3365;3593
10-25,161,905181,11:00:00,52,60,199;669;879;989;1139;1229;1369;1529;1757
10-25,161,905181,17:00:00,41,59,320;370;468;568;650;889;929;979;1149;1249;1389;1935;2275;2495;2615;2785;2865;3085;3294
10-25,161,905183,11:00:00,55,60,130;310;410;590;780;1063
10-25,161,905183,19:00:00,23,53,208;279;411;561;680;767;847;1145;1186;1352;1452;1532;1592;1776;1866;2036;2086;2370;2500;2600;2710;2820;2939;3129;3318;3369;3469;3538;3662;3702;3772
10-25,161,905185,11:00:00,15,43,60;110;340;390;500;598;822;882;1102;1172;1323;1463;1573;1643;1723;2043;2083;2255;2365;2444;2504;2684;2774;2924;2984;3094;3204;3314;3424
10-25,161,905185,15:00:00,42,60,40;134;238;298;499;549;599;749;849;979;1219;1539;1779;1899;2059;2149;2289;2448;2701
10-25,161,905185,9:00:00,42,60,60;146;246;305;515;565;615;765;855;975;1285;1625;1876;2026;2186;2276;2406;2586;2863
10-25,161,905191,11:00:00,10,36,320;557;787;862;1031;1080;1125;1307;1347;1455;1538;1874;1944;2162;2232;2356;2516;2662;2754;2834;3485;3595;3705;3815;3925;4035;4145
10-25,161,905191,17:00:00,2,22,110;250;430;610;730;873;914;1252;1591;2241;2431;2505;2685;2745;2815;3215;3325;3475;3559;3669;3779
10-25,161,905223,7:00:00,33,53,210;311;451;572;722;883;953;1203;1413;1481;1570;1680;1743;1980;2040;2100;2360;2470;2590;3017;3487
10-25,161,905245,9:00:00,8,31,50;380;700;928;1157;1248;1398;1458;1509;1729;1779;1889;1989;2189;2250;2480;2560;2720;2880;3000;3110;3179;3500;3550
10-25,161,905246,9:00:00,22,48,111;441;581;672;792;982;1042;1092;1202;1389;1469;1689;1796;1896;1996;2176;2337;2397;2677;2952;3022;3140;3259;3334;3555;3605;3655
10-25,161,905440,15:00:00,34,55,91;151;351;451;584;644;945;1095;1185;1225;1275;1405;1645;1855;1935;2045;2115;2245;2304;2494;2634;3034
10-25,161,905440,9:00:00,29,53,82;353;393;583;703;793;853;1055;1150;1290;1350;1673;1813;1903;1953;2013;2149;2375;2617;2717;2807;2877;3017;3077;3267
10-25,163,931276,9:00:00,4,11,171;421;481;581;712;792;832;1032
10-25,163,931279,15:00:00,2,11,110;301;451;702;762;853;963;1053;1123;1323
10-25,163,931279,7:00:00,7,11,80;200;290;340;550
10-25,163,931281,13:00:00,3,11,201;381;641;711;801;930;1030;1080;1290
10-25,168,901996,15:00:00,48,60,190;280;410;530;800;1020;1220;1470;1670;1811;1881;2051;2241
10-25,168,901996,7:00:00,11,39,170;327;426;510;670;738;858;898;976;1047;1107;1207;1257;1517;1621;1701;1837;1900;1976;2090;2323;2394;2678;2778;2920;3140;3320;3506;3580
10-25,168,901997,9:00:00,46,60,94;161;341;428;558;668;1048;1217;1377;1697;1837;1997;2067;2237;2417
10-25,175,902461,9:00:00,24,29,330;500;630;920;1170;1250
10-25,175,902462,13:00:00,13,29,244;334;464;754;854;1020;1370;1520;1677;2047;2118;2265;2425;2535;2765;2875;2985
10-25,175,902462,17:00:00,24,29,200;381;471;771;960;1040
10-25,175,902464,19:00:00,21,29,130;190;340;454;560;680;750;870;1079
10-25,175,902464,7:00:00,21,29,141;571;652;902;1062;1182;1573;1892;1983
10-25,175,902464,9:00:00,24,29,130;237;347;418;529;779
10-25,175,902465,15:00:00,9,22,40;263;313;433;643;884;953;1314;1435;1485;1745;1815;1945;2005
10-25,175,902465,7:00:00,18,29,340;679;839;979;1429;1509;1759;1959;2079;2289;2449;2519
10-25,175,902466,11:00:00,25,29,199;299;469;649;718
10-25,175,902466,9:00:00,15,29,81;411;491;531;821;911;1041;1101;1281;1401;1502;1621;1691;1831;2052
10-25,175,902467,19:00:00,11,29,50;140;340;520;590;766;846;896;1116;1196;1316;1366;1506;1606;1706;1786;1836;1966;2156
10-25,175,902467,7:00:00,5,26,110;210;340;460;570;630;751;841;1081;1162;1232;1522;1602;1812;2172;2322;2472;3262;3372;3632;3752;3882
10-25,175,902468,15:00:00,19,29,290;440;572;1023;1083;1253;1413;1523;1783;1974;2054
10-25,175,902468,7:00:00,2,24,110;320;470;570;690;860;990;1110;1176;1306;1426;1686;1726;1816;2086;2176;2379;2749;2899;3058;3758;3858;4108
10-25,175,902469,15:00:00,15,29,80;430;520;700;950;1100;1240;1700;1770;1920;2060;2150;2500;2750;2841
10-25,175,902471,15:00:00,7,29,140;261;370;430;560;660;891;971;1031;1350;1440;1633;1873;2023;2163;2543;2603;2763;2933;3003;3353;3564;3664
10-25,175,902472,11:00:00,9,29,100;170;300;370;620;670;740;1030;1110;1337;1767;1877;2008;2258;2318;2478;2648;2748;2998;3208;3288
10-25,175,902472,15:00:00,2,24,110;350;490;580;670;800;920;1020;1090;1220;1310;1547;1627;1687;2011;2131;2322;2562;2702;2842;3312;3372;3546
10-25,175,902472,17:00:00,22,29,60;222;332;442;602;673;933;1183
10-25,175,902472,9:00:00,9,21,40;262;304;424;654;898;978;1258;1358;1398;1699;1769;1889
10-25,175,902476,7:00:00,15,29,100;470;560;600;894;964;1094;1154;1304;1459;1577;1707;1787;1937;2207
10-25,175,902477,11:00:00,20,29,90;220;274;434;540;650;774;824;976;1237
10-25,175,902478,7:00:00,5,23,60;199;489;784;825;1076;1127;1218;1437;1688;1799;2161;2261;2312;2651;2720;2850;2910;3100
10-25,175,902509,15:00:00,24,29,120;205;365;475;655;865
10-25,175,902509,19:00:00,23,29,160;260;351;471;532;644;854
10-25,175,902509,7:00:00,22,29,360;430;640;771;911;1111;1231;1291
10-25,175,905592,11:00:00,2,8,110;320;430;530;600;721;831
10-25,175,905594,19:00:00,22,29,213;263;412;533;643;813;953;1023
10-25,175,905594,9:00:00,5,29,70;209;348;638;698;908;967;1106;1355;1595;1675;1976;2046;2086;2370;2441;2562;2613;2758;2885;2978;3114;3194;3325;3565
10-25,185,904672,17:00:00,8,27,90;195;426;479;599;659;869;1039;1218;1572;1834;1904;1974;2052;2301;2411;3145;3255;3365;3475
10-25,185,905670,9:00:00,8,30,266;570;680;901;1031;1102;1162;1347;1533;1673;1783;1900;1975;2056;2184;2282;2412;2512;2592;2692;2772;2827;2867
10-25,185,905671,11:00:00,23,30,91;351;579;926;1136;1493;1635;2035
10-25,185,905672,15:00:00,24,30,300;640;1012;1244;1692;1870;2273
10-25,185,905673,15:00:00,19,29,40;110;200;380;480;760;1076;1426;1637;1981;2151
10-25,185,905674,15:00:00,14,29,181;361;508;674;871;921;971;1060;1276;1376;1666;2016;2426;2686;3096;3278
10-25,185,905674,17:00:00,17,30,149;279;398;488;598;732;853;1013;1113;1202;1302;1381;1441;1503
10-25,185,905677,19:00:00,26,30,413;642;1134;1354;1723
10-25,185,905678,19:00:00,22,30,220;310;710;1030;1407;1657;1997;2167;2568
10-25,185,905678,9:00:00,26,30,589;849;1291;1473;2078
10-25,185,905680,13:00:00,11,30,200;277;332;402;544;674;804;904;1003;1081;1171;1248;1347;1469;1579;1649;1739;1829;1879;1921
10-25,185,905680,15:00:00,9,29,111;228;295;404;477;637;807;957;1132;1329;1379;1419;1516;1706;1806;2066;2377;2746;2976;3364;3558
10-25,185,905680,19:00:00,24,30,300;570;951;1171;1542;1722;2056
10-25,185,905681,17:00:00,22,30,239;349;729;1084;1673;2013;2424;2654;2764
10-25,185,905681,19:00:00,19,30,102;169;249;361;458;583;723;793;873;942;990;1030
10-25,185,905681,7:00:00,25,30,354;940;1220;1623;1811;2192
10-25,185,905682,15:00:00,4,26,156;611;822;1227;1554;1799;1869;2100;2200;2270;2320;2484;2656;2786;2916;3060;3151;3252;3334;3442;3552;3662;3772
10-25,185,905682,19:00:00,10,30,70;260;340;396;446;594;735;863;963;1063;1143;1223;1311;1408;1538;1678;1757;1837;1891;1953;1986
10-25,185,905682,7:00:00,24,30,300;610;1088;1388;1824;2015;2602
10-25,185,905682,9:00:00,23,30,106;242;362;442;532;601;643;683
10-25,185,905683,17:00:00,12,28,110;171;341;502;634;813;1041;1111;1161;1232;1400;1490;1820;1930;2040;2150;2260
10-25,185,905683,7:00:00,20,30,60;158;358;498;858;1258;1879;2289;2663;2809;2919
10-25,185,905683,9:00:00,21,30,90;226;325;470;621;691;801;881;927;1001
10-25,185,905684,13:00:00,12,29,120;190;339;499;625;813;987;1037;1087;1161;1361;1451;1761;2060;2458;2705;3062;3212
10-25,185,905684,9:00:00,8,27,90;197;380;448;570;640;810;970;1110;1291;1531;1591;1661;1770;1961;2061;2371;2642;3173;3413
10-25,185,905685,9:00:00,12,17,150;230;380;529;676;905
10-25,185,905686,13:00:00,18,30,178;228;278;370;551;641;941;1261;1636;1856;2242;2374;2811
10-25,185,905686,15:00:00,25,30,130;220;340;436;492;556
10-25,185,905687,7:00:00,10,30,110;220;330;440;550;660;770;880;990;1100;1210;1320;1430;1540;1650;1760;1870;1980;2090;2200;2310
10-25,185,905688,13:00:00,6,25,110;209;299;396;556;618;728;798;948;1117;1254;1439;1611;1661;1721;1805;1995;2085;2355;2699
10-25,185,905688,17:00:00,24,30,401;762;1204;1454;1837;2103;2588
10-25,185,905688,19:00:00,23,30,108;242;382;462;552;662;713;761
10-25,185,905689,11:00:00,23,30,110;256;356;437;547;637;687;742
10-25,185,905689,7:00:00,8,27,393;774;874;1195;1327;1448;1588;1852;2066;2243;2372;2561;2646;2746;2904;3020;3194;3364;3494;3604
10-25,185,905689,9:00:00,23,30,100;460;807;1337;1577;1962;2097;2473
10-25,185,905690,17:00:00,5,28,660;861;1295;1642;2012;2122;2362;2475;2546;2606;2796;2954;3063;3163;3230;3290;3400;3510;3620;3730;3840;3950;4060;4170
10-25,185,905690,19:00:00,15,30,120;247;406;549;609;659;727;913;993;1264;1526;1865;2073;2183;2293;2403
10-25,185,905691,9:00:00,17,30,191;425;475;545;636;831;931;1241;1553;1973;2243;2597;2728;3077
10-25,185,905692,11:00:00,23,30,121;284;434;524;631;741;806;855
10-25,185,905692,9:00:00,25,30,320;815;1146;1554;1683;2092
10-25,186,903645,15:00:00,34,44,80;160;270;550;695;873;1063;1246;1536;1665;2016
10-25,186,903656,15:00:00,20,44,78;173;253;313;353;541;648;738;788;938;998;1122;1332;1432;1523;1593;1693;1963;2101;2260;2451;2671;2951;3090;3480
10-25,186,903663,15:00:00,34,44,99;169;249;535;694;878;1028;1228;1478;1612;1950
10-25,186,905146,9:00:00,37,44,380;560;756;907;1127;1333;1444;1704
10-25,186,905154,17:00:00,34,44,130;220;340;700;851;1080;1300;1560;1850;2020;2467
10-25,186,905990,7:00:00,11,37,110;203;368;438;499;598;698;871;1110;1174;1290;1410;1483;1543;1823;1903;1993;2073;2216;2306;2456;2716;2816;2916;3006;3096;3456
10-25,186,906474,9:00:00,33,44,80;200;270;340;690;818;1007;1196;1496;1797;1947;2252
10-25,186,906476,15:00:00,37,44,280;435;623;774;994;1274;1410;1800
10-25,186,906477,9:00:00,20,44,60;160;260;331;381;581;670;771;831;979;1039;1136;1345;1435;1535;1615;1706;2085;2242;2445;2595;2876;3210;3350;3740
10-25,186,906479,19:00:00,35,44,70;149;428;559;731;891;1091;1351;1441;1741
10-25,186,906485,9:00:00,36,44,90;394;526;685;895;1145;1375;1507;1867
10-25,186,906487,17:00:00,31,44,98;338;449;589;679;809;1179;1336;1533;1693;1913;2150;2291;2671
10-25,186,906488,17:00:00,29,44,140;201;311;530;650;810;900;1020;1351;1492;1683;1883;2115;2405;2555;2925
10-25,186,906489,13:00:00,39,44,155;305;505;696;836;1227
10-25,186,906489,17:00:00,21,42,109;210;291;341;551;631;781;841;991;1081;1182;1412;1522;1633;1703;1803;2164;2317;2493;2662;2922;3183
10-25,186,906491,13:00:00,32,44,180;280;360;410;481;738;872;1051;1231;1432;1672;1791;2162
10-25,186,906495,9:00:00,40,44,240;470;830;990;1410
10-25,186,906498,15:00:00,12,41,86;186;246;307;407;527;687;901;962;1072;1152;1212;1262;1432;1512;1608;1669;1820;1916;2014;2225;2275;2385;2495;2605;2715;2825;2935;3045;3155
10-25,186,906501,9:00:00,19,41,260;330;440;540;620;681;901;1001;1081;1141;1301;1362;1463;1677;1787;1887;1957;2067;2397;2551;2730;2920;3160
10-25,186,906504,7:00:00,37,44,320;482;724;1004;1364;1904;2124;2674
10-25,186,906506,7:00:00,27,44,90;140;280;340;450;640;740;840;900;980;1259;1400;1584;1744;1914;2234;2343;2714
10-25,186,906509,17:00:00,36,44,101;471;634;859;1059;1296;1586;1745;2135
10-25,186,906509,19:00:00,11,16,80;160;250;360;686;841
10-25,186,906510,7:00:00,18,41,111;370;448;578;678;773;863;1063;1138;1228;1288;1439;1499;1586;1803;1923;2053;2114;2214;2464;2599;2788;2908;3138
10-25,186,906511,9:00:00,25,44,110;220;330;440;550;660;770;880;990;1100;1210;1320;1430;1540;1650;1760;1870;1980;2172;2692
10-25,18601,904754,7:00:00,6,11,1781;2301;2456;2748;2970;3880
10-25,20,903356,9:00:00,14,32,40;129;339;450;536;674;728;783;1026;1106;1316;1435;1525;1871;1981;2051;2270;2480;2736
10-25,20,903359,15:00:00,3,32,78;137;193;308;424;479;571;636;938;1048;1158;1208;1298;1497;1614;1706;1846;1894;1954;2144;2204;2423;2533;2643;2970;3064;3194;3334;3524;3797
10-25,20,903361,13:00:00,8,31,120;250;350;510;585;699;800;840;901;971;1052;1394;1484;1554;1673;1763;1803;1863;1953;2070;2186;2241;2298;2423
10-25,20,903363,7:00:00,22,32,290;357;537;678;818;1698;1808;1918;2068;2248;2534
10-25,20,903366,19:00:00,15,28,40;100;168;257;546;636;706;817;897;956;1046;1146;1254;1353
10-25,20,903370,17:00:00,27,32,311;421;541;651;861;1181
10-25,20,904650,11:00:00,26,32,100;376;476;576;826;1136;1416
10-25,20,904653,13:00:00,19,31,342;451;542;691;772;832;922;1022;1105;1185;1230;1288;1376
10-25,20,904653,19:00:00,22,32,110;220;330;528;757;1287;1427;1597;2127;2387;2717
10-25,20,921605,7:00:00,13,30,110;150;420;1030;1200;1350;1561;1621;1792;2183;2273;2493;2603;2713;2823;2933;3043;3153
10-25,20,921605,9:00:00,20,31,90;180;291;362;432;531;651;801;931;971;1031;1141
10-25,20,921606,11:00:00,15,32,90;280;391;471;591;641;692;882;954;1074;1194;1314;1615;1715;1805;1975;2225;2505
10-25,20,921656,17:00:00,19,24,120;170;220;390;440;700
10-25,201,900437,11:00:00,14,18,39;148;228;288;387
10-25,202,901529,11:00:00,15,22,120;160;226;307;404;446;583;713
10-25,202,901529,9:00:00,8,22,75;174;314;414;484;574;624;863;987;1059;1210;1350;1427;1471;1830
10-25,203,905780,11:00:00,17,23,100;220;291;411;581;635;725
10-25,203,905780,15:00:00,18,23,150;220;340;511;571;691
10-25,203,905781,15:00:00,11,23,110;180;240;420;503;564;674;793;872;1002;1182;1242;1403
10-25,203,905781,17:00:00,7,23,110;180;358;427;557;627;687;967;1053;1160;1270;1430;1510;1670;1861;1920;2091
10-25,203,905782,15:00:00,3,23,67;127;217;307;418;498;604;649;763;827;887;1037;1124;1204;1304;1484;1554;1694;1857;1907;2082
10-25,203,905782,9:00:00,17,23,100;200;270;390;558;609;729
10-25,203,905783,7:00:00,16,23,75;156;226;296;407;588;649;799
10-25,203,905783,9:00:00,11,23,107;227;288;512;606;696;795;875;936;1046;1210;1262;1402
10-25,203,905784,7:00:00,7,23,80;141;261;319;433;553;613;763;844;938;1058;1128;1188;1288;1475;1535;1685
10-25,203,905785,19:00:00,17,23,98;177;286;356;456;516;597
10-25,203,905786,11:00:00,16,23,50;136;246;337;397;486;546;605
10-25,203,905787,15:00:00,8,23,150;290;370;440;604;685;755;835;885;965;1037;1162;1232;1332;1392;1460
10-25,203,905788,17:00:00,3,23,118;183;423;593;673;823;973;1054;1134;1322;1403;1492;1602;1666;1806;1887;1984;2064;2204;2264;2334
10-25,203,905789,7:00:00,17,23,109;179;251;316;426;486;547
10-25,203,905789,9:00:00,8,23,120;250;321;392;551;631;741;851;910;1030;1142;1252;1332;1422;1482;1548
10-25,203,905790,13:00:00,10,23,70;150;312;383;463;543;603;693;807;902;972;1062;1132;1202
10-25,203,905790,17:00:00,19,23,111;201;321;401;481
10-25,203,905790,7:00:00,6,23,130;220;350;470;540;611;787;871;981;1101;1161;1271;1353;1450;1520;1630;1690;1753
10-25,207,921307,9:00:00,13,17,70;171;231;381;471
10-25,208,905653,11:00:00,32,39,41;141;231;341;391;471;551;621
10-25,208,905662,15:00:00,35,39,101;171;241;321;391
10-25,209,904058,17:00:00,13,18,50;109;179;249;399;519
10-25,211,902067,13:00:00,10,31,140;181;271;351;391;431;801;882;992;1062;1133;1192;1284;1375;1415;1475;1534;1610;2045;2198;2284;2394
10-25,211,902067,9:00:00,26,31,65;139;238;335;415;481
10-25,211,902072,7:00:00,11,31,50;136;196;246;286;369;439;549;630;709;778;853;923;963;1063;1130;1217;1331;1446;1510;1581
10-25,211,903968,15:00:00,20,31,66;123;203;257;298;359;417;532;667;809;882;963
10-25,211,903968,17:00:00,22,31,87;139;179;269;327;416;538;683;773;852
10-25,212,903975,7:00:00,9,25,90;183;308;372;432;552;617;827;957;1012;1087;1162;1360;1444;1613;1707;1796
10-25,213,903943,15:00:00,18,32,80;230;299;419;550;670;740;1050;1160;1260;1640;1740;1851;1960;2070
10-25,213,903943,7:00:00,5,32,101;211;271;381;491;881;931;1056;1196;1315;1385;1531;1602;1742;1812;1971;2051;2231;2311;2421;2521;2571;2668;2759;2900;3030;3160;3380
10-25,213,903944,17:00:00,10,32,521;631;741;851;991;1081;1221;1311;1461;1541;1691;1811;2021;2101;2220;2350;2401;2551;2711;2842;3281;3391;3661
10-25,213,903945,17:00:00,2,23,110;360;451;531;691;891;1001;1082;1232;1342;1442;1622;1712;1852;1912;2052;2141;2291;2351;2481;2651;3061
10-25,215,903971,7:00:00,19,39,70;120;230;330;460;570;690;790;910;1050;1170;1240;1320;1381;1531;1581;1741;1851;1991;2141;2221
10-25,215,903973,19:00:00,34,39,50;160;270;509;579;639
10-25,216,903952,13:00:00,27,32,60;100;210;271;311;371
10-25,218,903942,11:00:00,12,20,110;150;210;279;399;519;630;700;1240
10-25,218,903942,17:00:00,8,19,110;170;230;481;591;641;721;801;1001;1122;1232;1302
10-25,218,903942,19:00:00,12,20,110;160;220;269;389;489;579;638;837
